,0,1,2,3,4,5
0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0
6,0.8460944890975952,0.9999999403953552,0.0,0.0,0.0,0.0
7,0.8658170700073242,1.0,0.0,0.0,0.0,0.0
8,0.8664324879646301,1.0,0.0,0.0,0.0,0.0
9,0.8510894179344177,1.0,0.0,0.0,0.0,0.0
10,0.8358116745948792,1.0,0.0,0.0,0.0,0.0
11,0.8452179431915283,1.0,0.0,0.0,0.0,0.0
12,0.7725100517272949,0.9859994053840637,1.0,0.0,0.0,0.0
13,0.7950666546821594,0.9901624321937561,1.0,0.0,0.0,0.0
14,0.7964491844177246,0.9873209595680237,1.0,0.0,0.0,0.0
15,0.7968822121620178,0.9885217547416687,1.0,0.0,0.0,0.0
16,0.7994953393936157,0.9901579022407532,1.0,0.0,0.0,0.0
17,0.7918681502342224,0.9905177354812622,1.0,0.0,0.0,0.0
18,0.6404426693916321,0.9382115006446838,0.9981052279472351,1.0,0.0,0.0
19,0.6076075434684753,0.8974263668060303,0.9926701784133911,1.0,0.0,0.0
20,0.6252186298370361,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
